                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5194,                 4.3656,                 5.2047,                 1.5716,                0.00358,                0.00219,                  0.001,                 0.0006,                0.00402,                0.00176,                0.00081,                0.00046,                 2.2943,                 4.2295,                 6.0165,                 1.5018,                 0.0919,                 0.0009,                 0.0009
                      1,                 1.5754,                 2.4627,                 1.8658,                 1.0914,                 0.5496,                0.51405,                0.46013,                0.23124,                0.54866,                0.51317,                0.45325,                0.20045,                 1.5876,                 2.2609,                 2.1115,                 1.1195,               0.082712,              0.0017119,              0.0017119
                      2,                 1.2588,                 1.9706,                 1.2337,                0.97107,                0.69584,                 0.6829,                0.68685,                0.35957,                0.67402,                0.63082,                0.62736,                0.26853,                 1.4615,                 2.1049,                 1.5516,                 1.0374,               0.073326,              0.0023258,              0.0023258
                      3,                  1.192,                 1.9063,                 1.0091,                0.94864,                0.68164,                 0.6664,                0.64882,                0.35665,                0.66674,                0.63433,                0.61692,                 0.2932,                 1.3502,                 1.9858,                 1.1994,                0.99912,               0.063742,              0.0027417,              0.0027417
                      4,                 1.1308,                 1.7743,                0.99274,                0.92813,                0.77876,                0.71861,                0.79221,                 0.4514,                0.74082,                 0.6813,                0.72422,                0.30984,                 1.2555,                  1.882,                 1.0334,                0.95485,                0.05396,              0.0029596,              0.0029596
                      5,                 1.1487,                 1.6742,                0.96677,                0.94947,                0.73934,                0.73398,                0.74537,                0.44943,                0.72617,                  0.705,                0.71766,                0.35117,                 1.2222,                 1.7999,                 1.0435,                0.94857,                0.04398,              0.0029795,              0.0029795
                      6,                 1.0851,                 1.6298,                0.93981,                0.93013,                0.75101,                0.71498,                0.72987,                0.41906,                0.70551,                 0.6678,                0.67084,                0.30477,                 1.2054,                 1.8194,                0.99301,                0.95085,               0.033801,              0.0028014,              0.0028014
                      7,                 1.0729,                 1.6122,                0.87937,                0.92745,                 0.7976,                0.72827,                0.79945,                0.46488,                0.76967,                0.71877,                0.76386,                0.37502,                  1.193,                 1.7541,                0.90602,                0.95017,               0.023425,              0.0024253,              0.0024253
                      8,                 1.1028,                 1.5692,                0.82184,                0.91597,                0.78521,                0.74802,                0.78544,                0.47344,                0.77036,                0.71466,                0.75422,                0.37336,                 1.1842,                 1.7903,                0.83498,                0.94705,               0.012851,              0.0018512,              0.0018512
                      9,                 1.0638,                 1.5604,                0.76349,                 0.9147,                0.78284,                0.74535,                0.78237,                0.47171,                0.76745,                0.68349,                0.73259,                0.34066,                 1.1754,                 1.7489,                0.84754,                0.94367,              0.0020791,              0.0010791,              0.0010791
